,PLR,PLR_NAME,PLZ
0,1011105,Nördlicher Landwehrkanal,"['10117', '10785', '10963']"
1,1011201,Wilhelmstraße,"['10117', '10785', '10963', '10969']"
2,1011202,Unter den Linden Nord,"['10117', '10178', '10557', '10785']"
3,1011203,Unter den Linden Süd,"['10117', '10178']"
4,1011204,Leipziger Straße,"['10117', '10178', '10179', '10969']"
5,1011301,Charitéviertel,"['10115', '10117', '10557', '13353']"
6,1011302,Oranienburger Straße,"['10115', '10117', '10119', '10178', '10179']"
7,1011303,Alexanderplatzviertel,"['10119', '10178', '10179', '10249', '10405']"
8,1011304,Karl-Marx-Allee,"['10178', '10179', '10243', '10249']"
9,1011305,Heine-Viertel West,"['10117', '10178', '10179', '10969']"
10,1011306,Heine-Viertel Ost,"['10179', '10243', '10969', '10997', '10999']"
11,1011101,Stülerstraße,"['10785', '10787']"
12,1011102,Großer Tiergarten,"['10117', '10557', '10623', '10785', '10787']"
13,1011103,Lützowstraße,"['10783', '10785', '10787']"
14,1011104,Körnerstraße,"['10783', '10785']"
15,1022203,Lübecker Straße,"['10551', '10559']"
16,1022204,Thomasiusstraße,"['10555', '10557', '10559']"
17,1022205,Zillesiedlung,"['10557', '10559']"
18,1022206,Lüneburger Straße,"['10117', '10557', '10559']"
19,1022207,Hansaviertel,"['10555', '10557', '10587', '10623', '10787']"
20,1033101,Soldiner Straße,"['10439', '13187', '13359', '13409']"
21,1033102,Gesundbrunnen,"['10439', '13357', '13359']"
22,1033201,Brunnenstraße,"['10115', '10435', '10437', '13355', '13357']"
23,1033202,Humboldthain Süd,"['10115', '13355', '13357']"
24,1033203,Humboldthain Nordwest,"['10115', '10557', '13347', '13353', '13355', '13357']"
25,1044101,Rehberge,"['13347', '13349', '13351', '13353', '13405', '13627']"
26,1044102,Schillerpark,"['13347', '13349', '13359', '13405', '13407', '13409']"
27,1044103,Westliche Müllerstraße,"['13347', '13353']"
28,1044201,Reinickendorfer Straße,"['13347', '13353', '13357', '13359']"
29,1044202,Sparrplatz,"['13347', '13353']"
30,1011401,Invalidenstraße,"['10115', '10119', '13347', '13355']"
31,1011402,Arkonaplatz,"['10115', '10119', '10435']"
32,1044203,Leopoldplatz,"['13347', '13349', '13353', '13359']"
33,2010101,Askanischer Platz,"['10963', '10969']"
34,1022101,Huttenkiez,"['10553', '10555', '10587', '10589']"
35,1022102,Beusselkiez,"['10551', '10553', '10555']"
36,1022103,Westhafen,"['10551', '10553', '10559', '10589', '13351', '13353', '13627']"
37,1022104,Emdener Straße,"['10551', '10553', '10555', '10559']"
38,1022105,Zwinglistraße,"['10551', '10553', '10555']"
39,1022106,Elberfelder Straße,"['10551', '10553', '10555', '10559', '10587']"
40,1022201,Stephankiez,"['10551', '10557', '10559']"
41,1022202,Heidestraße,"['10115', '10557', '10559', '13353']"
42,2020201,Gleisdreieck/Entwicklungsgebiet,"['10783', '10785', '10963', '10965']"
43,2020202,Rathaus Yorckstraße,"['10961', '10963', '10965']"
44,2020203,Viktoriapark,"['10961', '10963', '10965', '12101']"
45,2030402,Wrangelkiez,"['10245', '10997', '12435']"
46,2040501,Barnimkiez,"['10178', '10243', '10249', '10407']"
47,2040502,Friedenstraße,"['10178', '10243', '10249']"
48,2040503,Richard-Sorge-Viertel,"['10243', '10247', '10249', '10407']"
49,2010102,Mehringplatz,"['10963', '10969']"
50,2010103,Moritzplatz,"['10969', '10999']"
51,2010104,Wassertorplatz,"['10969', '10999']"
52,2020204,Urbanstraße,"['10961', '10963', '10967', '10969']"
53,2020205,Chamissokiez,"['10961', '10965']"
54,2020206,Graefekiez,"['10961', '10965', '10967', '10969', '10999', '12047', '12049']"
55,2030301,Oranienplatz,"['10179', '10969', '10997', '10999']"
56,2030302,Lausitzer Platz,"['10243', '10245', '10997', '10999']"
57,2030401,Reichenberger Straße,"['10967', '10997', '10999', '12045', '12047', '12059', '12435']"
58,2040701,Andreasviertel,"['10179', '10243']"
59,2040702,Weberwiese,"['10243', '10245']"
60,2050804,Stralauer Halbinsel,"['10245', '10317', '12435']"
61,3020210,Herthaplatz,"['13127', '13156', '13158', '13159']"
62,3030406,Alt-Karow,"['13051', '13125', '13129']"
63,3030711,Blankenburg,"['13051', '13088', '13089', '13125', '13127', '13129', '13189']"
64,3030715,Heinersdorf,"['13086', '13088', '13089', '13129', '13189']"
65,3030716,Märchenland,"['13051', '13086', '13088', '13089', '13125', '13129']"
66,3030405,Karow Nord,['13125']
67,3040508,Rosenthal,"['13158', '13159', '13439']"
68,3040512,Wilhelmsruh,"['13156', '13158', '13407', '13437']"
69,3040513,Schönholz,"['13156', '13158', '13187', '13359', '13407', '13409']"
70,3040614,Pankow Zentrum,"['10439', '13127', '13129', '13156', '13187', '13189', '13359']"
71,3040818,Pankow Süd,"['10409', '10439', '13086', '13089', '13127', '13187', '13189']"
72,3050919,Gustav-Adolf-Straße,"['13086', '13088', '13089']"
73,3050920,Weißer See,"['13086', '13088']"
74,3050923,Weißenseer Spitze,"['10409', '13086', '13189']"
75,3050924,Behaimstraße,"['10409', '13086', '13088']"
76,3050925,Komponistenviertel Weißensee,"['10369', '10407', '10409', '13053', '13088']"
77,3051017,Rennbahnstraße,"['13051', '13053', '13086', '13088']"
78,3051021,Buschallee,['13088']
79,3051022,Hansastraße,"['13053', '13088']"
80,3061126,Arnimplatz,"['10437', '10439', '13187', '13189', '13357', '13359']"
81,3061131,Falkplatz,"['10435', '10437', '10439', '13355', '13357']"
82,3061227,Humannplatz,"['10405', '10409', '10437', '10439']"
83,3061228,Erich-Weinert-Straße,"['10405', '10409', '10439', '13086']"
84,3061332,Helmholtzplatz,"['10405', '10435', '10437', '10439']"
85,3061429,Greifswalder Straße,"['10405', '10407', '10409', '13088']"
86,2040703,Wriezener Bahnhof/Entwicklungsgebiet,"['10179', '10243', '10245', '10997']"
87,2050601,Hausburgviertel,"['10247', '10249']"
88,2050602,Samariterviertel,"['10243', '10247', '10249', '10365', '10367']"
89,2050803,Stralauer Kiez,"['10245', '10317', '10997', '12435']"
90,3010101,Bucher Forst,"['13125', '13127']"
91,3010102,Buch,['13125']
92,3010104,Lietzengraben,"['13125', '13127', '13129', '13159']"
93,3020209,Niederschönhausen,"['13156', '13158', '13187']"
94,3020307,Buchholz,"['13127', '13129', '13158', '13159']"
95,2050801,Traveplatz,"['10243', '10245', '10247', '10317', '10365']"
96,2050802,Boxhagener Platz,"['10243', '10245']"
97,3061441,Eldenaer Straße,"['10247', '10249', '10407']"
98,3071536,Teutoburger Platz,"['10119', '10405', '10435', '10437']"
99,3071537,Kollwitzplatz,"['10119', '10178', '10405', '10435']"
100,3071633,Thälmannpark,"['10405', '10437']"
101,4020207,Flatowallee,"['14052', '14053', '14055']"
102,4020208,Kranzallee,"['13595', '14052', '14055', '14193']"
103,4020209,Eichkamp,"['14052', '14055']"
104,4020310,Park Ruhwald,"['13597', '13627', '13629', '14050', '14052', '14059']"
105,4020311,Reichsstraße,"['14050', '14052', '14055', '14057']"
106,4020312,Branitzer Platz,"['14050', '14052']"
107,4020313,Königin-Elisabeth-Straße,"['14050', '14055', '14057', '14059']"
108,4020314,Messegelände,"['10711', '14052', '14055', '14057']"
109,3061430,Volkspark Prenzlauer Berg,"['10369', '10407']"
110,3061434,Anton-Saefkow-Park,"['10405', '10407', '10409']"
111,3061435,Conrad-Blenkle-Straße,"['10249', '10369', '10407']"
112,3071638,Winsstraße,"['10178', '10249', '10405', '10407']"
113,3071639,Bötzowstraße,"['10249', '10405', '10407']"
114,4010101,Jungfernheide,"['10589', '13627', '13629', '14059']"
115,4010102,Plötzensee,"['10553', '13351', '13353', '13627', '13629']"
116,4020204,Olympiagelände,"['13597', '14052', '14053', '14055']"
117,4020205,Siedlung Ruhleben,"['13597', '14052', '14053']"
118,4010103,Paul-Hertz-Siedlung,"['10553', '13627']"
119,4020206,Angerburger Allee,"['13595', '14055']"
120,4030415,Schloßgarten,"['10585', '10587', '10589', '13627', '14059']"
121,4030416,Klausenerplatz,['14059']
122,4030417,Schloßstraße,"['10585', '10587', '10627', '14057', '14059']"
123,4030725,Amtsgerichtsplatz,"['10627', '10711', '14057']"
124,4030726,Droysenstraße,"['10627', '10629', '10707', '10709', '10711']"
125,4030827,Karl-August-Platz,"['10625', '10627', '10629']"
126,4030828,Savignyplatz,"['10623', '10625', '10629']"
127,4030929,Hindemithplatz,"['10625', '10627', '10629', '10707']"
128,4030930,George-Grosz-Platz,"['10623', '10629', '10707', '10719']"
129,4030931,Breitscheidplatz,"['10623', '10719', '10787', '10789']"
130,4031032,Halensee,"['10629', '10707', '10709', '10711', '14055', '14193']"
131,4041134,Bismarckallee,"['10711', '14055', '14193']"
132,4041135,Hundekehle,"['14055', '14193', '14195', '14199']"
133,4041137,Flinsberger Platz,"['10709', '10711', '10713', '14193', '14199']"
134,4041133,Güterbahnhof Grunewald,"['10711', '14055', '14193']"
135,4041136,Hagenplatz,"['14193', '14199']"
136,4041238,Kissinger Straße,['14199']
137,4041239,Stadion Wilmersdorf,"['10713', '14197', '14199']"
138,4041240,Messelpark,"['14195', '14199']"
139,4041241,Breite Straße,"['14195', '14197', '14199']"
140,4041342,Schlangenbader Straße,"['14195', '14197', '14199']"
141,4041343,Binger Straße,"['14195', '14197', '14199']"
142,4041344,Rüdesheimer Platz,"['10715', '12161', '12163', '14195', '14197']"
143,4051445,Eisenzahnstraße,"['10707', '10709', '10711', '10713', '14193', '14199']"
144,4051446,Preußenpark,"['10707', '10709', '10713', '10719']"
145,4051447,Ludwigkirchplatz,"['10707', '10713', '10717', '10719']"
146,4030518,Tegeler Weg,['10589']
147,4030519,Kaiserin-Augusta-Allee,"['10553', '10587', '10589', '13627']"
148,4030620,Alt-Lietzow,"['10585', '10587', '10625']"
149,4030621,Spreestadt,"['10553', '10555', '10587', '10623']"
150,4030622,Richard-Wagner-Straße,"['10585', '10587', '10625', '10627']"
151,4030623,Ernst-Reuter-Platz,"['10585', '10587', '10623', '10625', '10719']"
152,4030724,Lietzensee,"['10711', '14055', '14057']"
153,4051551,Brabanter Platz,"['10713', '10715', '14197', '14199']"
154,4051652,Nikolsburger Platz,"['10715', '10717']"
155,4051653,Prager Platz,"['10715', '10717', '10779', '10825']"
156,4051654,Wilhelmsaue,"['10713', '10715']"
157,5010204,Griesingerstraße,['13589']
158,5010205,An der Tränke,['13591']
159,5010206,Gütersloher Weg,"['13583', '13589', '13591']"
160,5010207,Darbystraße,"['13583', '13589']"
161,5010208,Germersheimer Platz,"['13583', '13585', '13589']"
162,5010209,An der Kappe,"['13581', '13583', '13589', '13591']"
163,5010310,Eckschanze,"['13583', '13585']"
164,5010311,Eiswerder,"['13505', '13585', '13587', '13599']"
165,4051448,Schaperstraße,"['10717', '10719', '10777', '10779', '10789']"
166,4051549,Rathaus Wilmersdorf,"['10707', '10713', '10715', '14199']"
167,4051550,Leon-Jessel-Platz,"['10707', '10713', '10715', '10717', '10719']"
168,4051655,Babelsberger Straße,"['10715', '10779', '10825', '12159', '12161']"
169,4051656,Hildegardstraße,"['10713', '10715', '12161', '14197']"
170,5010102,Goltzstraße,['13587']
171,5010103,Amorbacher Weg,"['13583', '13585', '13587', '13589']"
172,5010312,Kurstraße,"['13585', '13597', '13599']"
173,5010313,Ackerstraße,"['13583', '13585']"
174,5010314,Carl-Schurz-Straße,"['13581', '13583', '13585', '13597', '13599']"
175,5010339,Freiheit,"['13597', '13599', '14050', '14052']"
176,5020415,Isenburger Weg,['13591']
177,5020416,Am Heideberg,['13591']
178,5020417,Staakener Straße,"['13581', '13591']"
179,5020523,Maulbeerallee,"['13581', '13591', '13593']"
180,5020524,Weinmeisterhornweg,"['13593', '13595', '14089']"
181,5020625,Borkumer Straße,"['13581', '13595', '13597']"
182,5020626,Adamstraße,"['13581', '13593', '13595', '13597']"
183,5020627,Tiefwerder,"['13581', '13595', '13597', '14055']"
184,5020628,Graetschelsteig,"['13593', '13595']"
185,5020629,Börnicker Straße,"['13595', '13597', '14055', '14089', '14193']"
186,5030730,Zitadellenweg,"['13505', '13585', '13587', '13597', '13599']"
187,5030731,Gartenfelder Straße,"['13599', '13629']"
188,5030832,Rohrdamm,"['13599', '13627', '13629']"
189,5030833,Motardstraße,"['13597', '13599', '13627', '13629', '14050']"
190,5040934,Alt-Gatow,"['13593', '13595', '14089', '14129', '14193']"
191,5040935,Groß-Glienicker Weg,['14089']
192,5040936,Jägerallee,['14089']
193,5040937,Kladower Damm,"['14089', '14109', '14129']"
194,5040938,Kafkastraße,['14089']
195,6010101,Fichtenberg,"['12163', '12165', '12203', '14195']"
196,6010102,Schloßstraße,"['12163', '12165', '12169']"
197,6010103,Markelstraße,"['12161', '12163', '12169', '14195', '14197']"
198,6010204,Munsterdamm,"['12105', '12169']"
199,6010205,Südende,"['12105', '12167', '12169', '12247']"
200,6010206,Stadtpark,"['12167', '12169', '12203', '12247']"
201,6010207,Mittelstraße,"['12165', '12167', '12169', '12203']"
202,5020418,Spandauer Straße,"['13581', '13591']"
203,5020419,Magistratsweg,"['13581', '13591']"
204,5020420,Werkstraße,['13591']
205,5020521,Döberitzer Weg,['13591']
206,5020522,Pillnitzer Weg,"['13591', '13593']"
207,6020301,Alt-Lankwitz,"['12105', '12107', '12247', '12249']"
208,6020302,Komponistenviertel Lankwitz,"['12167', '12207', '12247']"
209,4061757,Forst Grunewald,"['14055', '14089', '14129', '14169', '14193', '14195']"
210,5010101,Hakenfelde Nord,"['13505', '13585', '13587', '13589']"
211,9031202,Schmöckwitz/Rauchfangswerder,"['12527', '12559']"
212,6020411,Schütte-Lanz-Straße,"['12207', '12209', '12249', '12279']"
213,6030501,Berlepschstraße,"['14163', '14165']"
214,6030502,Zehlendorf Süd,"['14165', '14167']"
215,6030503,Zehlendorf Mitte,"['12205', '14163', '14165', '14167', '14169']"
216,6040804,Krumme Lanke,"['14129', '14163', '14169', '14193']"
217,6040808,Hüttenweg,"['14169', '14193', '14195']"
218,6040810,Dahlem,"['12163', '14169', '14195', '14199']"
219,6010208,Bergstraße,"['12157', '12163', '12165', '12167', '12169']"
220,6010209,Feuerbachstraße,"['12157', '12161', '12163', '12169']"
221,6010210,Bismarckstraße,"['12157', '12163', '12169']"
222,6020306,Lankwitz Süd,"['12107', '12209', '12249', '12277', '12279']"
223,6020409,Königsberger Straße,"['12203', '12207', '12209', '12247']"
224,6020303,Lankwitz Kirche,"['12247', '12249']"
225,6020304,Kaiser-Wilhelm-Straße,"['12209', '12247', '12249']"
226,6020305,Gemeindepark Lankwitz,"['12209', '12247', '12249']"
227,6020407,Thermometersiedlung,['12207']
228,6020408,Lichterfelde Süd,"['12207', '14167']"
